Generation,Mean_Fitness,Mean_BaseRate,Mean_KinChange,Mean_CoopChange,Mean_DefectChange,Mean_GroupChange,SD_Fitness,SD_BaseRate,SD_KinChange,SD_CoopChange,SD_DefectChange,SD_GroupChange
37,140.31,-0.2677,-0.151,-0.0766,-0.113,0.1253,39.8393511493,0.471967912045,0.528351208951,0.52003311433,0.518874744038,0.621753094082
38,138.5,-0.2736,-0.1697,-0.1018,-0.0759,0.099,34.2241143056,0.465225794642,0.511658978227,0.504987881043,0.523862758745,0.623381905416
39,139.2,-0.2597,-0.2096,-0.1466,-0.0549,0.0249,32.5901825708,0.488963096767,0.484745128908,0.47150232237,0.463373488668,0.625564537038
40,141.0,-0.2422,-0.2193,-0.0882,-0.0495,0.1932,37.6069142579,0.517315339034,0.470109040543,0.46716673683,0.420809636297,0.655569797962
41,142.39,-0.2189,-0.1962,-0.0792,-0.0866,0.1319,40.5344039058,0.503759654994,0.455955655739,0.46887670021,0.411816026886,0.636057693924
42,150.67,-0.1258,-0.2021,-0.0712,-0.1023,-0.0254,31.0580279477,0.53901053793,0.450282788923,0.47593755893,0.411914687769,0.59792210195
43,163.46,-0.0916,-0.1325,-0.0492,-0.0738,0.1109,43.8714987207,0.564233497765,0.504280427937,0.459505560358,0.473687196365,0.602526505641
44,156.67,-0.0991,-0.2055,0.0089,-0.1516,0.1139,41.7308171499,0.546386484093,0.493806389185,0.452258543313,0.492992332598,0.594299411072
45,144.44,-0.156,-0.2493,0.0064,-0.2147,0.0967,31.7283217331,0.516670107515,0.523486876626,0.465672674741,0.439339174215,0.589187669593
46,140.18,-0.1706,-0.232,-0.0275,-0.2202,0.0859,34.0759093789,0.519222148988,0.531879685643,0.46930666946,0.427618942518,0.617325027842
47,136.8,-0.2317,-0.2653,-0.0135,-0.3153,0.0814,29.9596395172,0.55953740715,0.513705080761,0.47959227475,0.418897254706,0.588549097357
48,138.59,-0.2031,-0.3564,0.0338,-0.2928,0.1066,33.6309663852,0.572918310058,0.50291653383,0.483668853659,0.466538487158,0.599848680919
49,128.22,-0.3534,-0.347,-0.1214,-0.2895,-0.053,28.9259675724,0.544544249809,0.475086307948,0.508076805217,0.513475169799,0.611850471929
50,128.75,-0.3749,-0.3277,-0.0301,-0.2948,0.0632,25.7838612314,0.523288629726,0.453574370969,0.537815014666,0.515399805976,0.629119829603
51,132.95,-0.3735,-0.2301,-0.0827,-0.3273,0.0354,35.1662835682,0.546103241155,0.499376601374,0.520224672618,0.518291144049,0.616244139932
52,123.57,-0.4459,-0.2697,0.0395,-0.3493,0.0309,27.1183535636,0.494542404653,0.489823345707,0.52431550616,0.476693308113,0.622509590288
53,130.81,-0.3708,-0.2636,0.059,-0.2887,0.0084,30.6397437979,0.500141340023,0.510183339595,0.523537009198,0.497635720181,0.639342975249
